Name,Core Voltage,LEs,User I/Os,Memory Bits,Embedded multiplier 9-bit elements,PLL,Global Clocks
EP4CE6E22A7,1.2V,6272,92,276480,30,2,10
EP4CE6E22C6,1.2V,6272,92,276480,30,2,10
EP4CE6E22C7,1.2V,6272,92,276480,30,2,10
EP4CE6E22C8,1.2V,6272,92,276480,30,2,10
EP4CE6E22C8L,1.0V,6272,92,276480,30,2,10
EP4CE6E22C9L,1.0V,6272,92,276480,30,2,10
EP4CE6E22I7,1.2V,6272,92,276480,30,2,10
EP4CE6E22I8L,1.0V,6272,92,276480,30,2,10
EP4CE6F17A7,1.2V,6272,180,276480,30,2,10
EP4CE6F17C6,1.2V,6272,180,276480,30,2,10
EP4CE6F17C7,1.2V,6272,180,276480,30,2,10
EP4CE6F17C8,1.2V,6272,180,276480,30,2,10
EP4CE6F17C8L,1.0V,6272,180,276480,30,2,10
EP4CE6F17C9L,1.0V,6272,180,276480,30,2,10
EP4CE6F17I7,1.2V,6272,180,276480,30,2,10
EP4CE6F17I8L,1.0V,6272,180,276480,30,2,10
EP4CE6U14I7,1.2V,6272,180,276480,30,2,10
EP4CE10E22A7,1.2V,10320,92,423936,46,2,10
EP4CE10E22C6,1.2V,10320,92,423936,46,2,10
EP4CE10E22C7,1.2V,10320,92,423936,46,2,10
EP4CE10E22C8,1.2V,10320,92,423936,46,2,10
EP4CE10E22C8L,1.0V,10320,92,423936,46,2,10
EP4CE10E22C9L,1.0V,10320,92,423936,46,2,10
EP4CE10E22I7,1.2V,10320,92,423936,46,2,10
EP4CE10E22I8L,1.0V,10320,92,423936,46,2,10
EP4CE10F17A7,1.2V,10320,180,423936,46,2,10
EP4CE10F17C6,1.2V,10320,180,423936,46,2,10
EP4CE10F17C7,1.2V,10320,180,423936,46,2,10
EP4CE10F17C8,1.2V,10320,180,423936,46,2,10
EP4CE10F17C8L,1.0V,10320,180,423936,46,2,10
EP4CE10F17C9L,1.0V,10320,180,423936,46,2,10
EP4CE10F17I7,1.2V,10320,180,423936,46,2,10
EP4CE10F17I8L,1.0V,10320,180,423936,46,2,10
EP4CE10U14I7,1.2V,10320,180,423936,46,2,10
EP4CE15E22C6,1.2V,15408,82,516096,112,4,20
EP4CE15E22C7,1.2V,15408,82,516096,112,4,20
EP4CE15E22C8,1.2V,15408,82,516096,112,4,20
EP4CE15E22C8L,1.0V,15408,82,516096,112,4,20
EP4CE15E22C9L,1.0V,15408,82,516096,112,4,20
EP4CE15E22I7,1.2V,15408,82,516096,112,4,20
EP4CE15E22I8L,1.0V,15408,82,516096,112,4,20
EP4CE15F17A7,1.2V,15408,166,516096,112,4,20
EP4CE15F17C6,1.2V,15408,166,516096,112,4,20
EP4CE15F17C7,1.2V,15408,166,516096,112,4,20
EP4CE15F17C8,1.2V,15408,166,516096,112,4,20
EP4CE15F17C8L,1.0V,15408,166,516096,112,4,20
EP4CE15F17C9L,1.0V,15408,166,516096,112,4,20
EP4CE15F17I7,1.2V,15408,166,516096,112,4,20
EP4CE15F17I8L,1.0V,15408,166,516096,112,4,20
EP4CE15F23A7,1.2V,15408,344,516096,112,4,20
EP4CE15F23C6,1.2V,15408,344,516096,112,4,20
EP4CE15F23C7,1.2V,15408,344,516096,112,4,20
EP4CE15F23C8,1.2V,15408,344,516096,112,4,20
EP4CE15F23C8L,1.0V,15408,344,516096,112,4,20
EP4CE15F23C9L,1.0V,15408,344,516096,112,4,20
EP4CE15F23I7,1.2V,15408,344,516096,112,4,20
EP4CE15F23I8L,1.0V,15408,344,516096,112,4,20
EP4CE15M8I7,1.2V,15408,90,516096,112,4,20
EP4CE15M9C7,1.2V,15408,166,516096,112,4,20
EP4CE15M9I7,1.2V,15408,166,516096,112,4,20
EP4CE15U14I7,1.2V,15408,166,516096,112,4,20
EP4CE22E22A7,1.2V,22320,80,608256,132,4,20
EP4CE22E22C6,1.2V,22320,80,608256,132,4,20
EP4CE22E22C7,1.2V,22320,80,608256,132,4,20
EP4CE22E22C8,1.2V,22320,80,608256,132,4,20
EP4CE22E22C8L,1.0V,22320,80,608256,132,4,20
EP4CE22E22C9L,1.0V,22320,80,608256,132,4,20
EP4CE22E22I7,1.2V,22320,80,608256,132,4,20
EP4CE22E22I8L,1.0V,22320,80,608256,132,4,20
EP4CE22F17A7,1.2V,22320,154,608256,132,4,20
EP4CE22F17C6,1.2V,22320,154,608256,132,4,20
EP4CE22F17C7,1.2V,22320,154,608256,132,4,20
EP4CE22F17C8,1.2V,22320,154,608256,132,4,20
EP4CE22F17C8L,1.0V,22320,154,608256,132,4,20
EP4CE22F17C9L,1.0V,22320,154,608256,132,4,20
EP4CE22F17I7,1.2V,22320,154,608256,132,4,20
EP4CE22F17I8L,1.0V,22320,154,608256,132,4,20
EP4CE22U14I7,1.2V,22320,154,608256,132,4,20
EP4CE30F19A7,1.2V,28848,193,608256,132,4,20
EP4CE30F23A7,1.2V,28848,329,608256,132,4,20
EP4CE30F23C6,1.2V,28848,329,608256,132,4,20
EP4CE30F23C7,1.2V,28848,329,608256,132,4,20
EP4CE30F23C8,1.2V,28848,329,608256,132,4,20
EP4CE30F23C8L,1.0V,28848,329,608256,132,4,20
EP4CE30F23C9L,1.0V,28848,329,608256,132,4,20
EP4CE30F23I7,1.2V,28848,329,608256,132,4,20
EP4CE30F23I8L,1.0V,28848,329,608256,132,4,20
EP4CE30F29C6,1.2V,28848,533,608256,132,4,20
EP4CE30F29C7,1.2V,28848,533,608256,132,4,20
EP4CE30F29C8,1.2V,28848,533,608256,132,4,20
EP4CE30F29C8L,1.0V,28848,533,608256,132,4,20
EP4CE30F29C9L,1.0V,28848,533,608256,132,4,20
EP4CE30F29I7,1.2V,28848,533,608256,132,4,20
EP4CE30F29I8L,1.0V,28848,533,608256,132,4,20
EP4CE30U19A7,1.2V,28848,329,608256,132,4,20
EP4CE40F19A7,1.2V,39600,193,1161216,232,4,20
EP4CE40F23A7,1.2V,39600,329,1161216,232,4,20
EP4CE40F23C6,1.2V,39600,329,1161216,232,4,20
EP4CE40F23C7,1.2V,39600,329,1161216,232,4,20
EP4CE40F23C8,1.2V,39600,329,1161216,232,4,20
EP4CE40F23C8L,1.0V,39600,329,1161216,232,4,20
EP4CE40F23C9L,1.0V,39600,329,1161216,232,4,20
EP4CE40F23I7,1.2V,39600,329,1161216,232,4,20
EP4CE40F23I8L,1.0V,39600,329,1161216,232,4,20
EP4CE40F29C6,1.2V,39600,533,1161216,232,4,20
EP4CE40F29C7,1.2V,39600,533,1161216,232,4,20
EP4CE40F29C8,1.2V,39600,533,1161216,232,4,20
EP4CE40F29C8L,1.0V,39600,533,1161216,232,4,20
EP4CE40F29C9L,1.0V,39600,533,1161216,232,4,20
EP4CE40F29I7,1.2V,39600,533,1161216,232,4,20
EP4CE40F29I8L,1.0V,39600,533,1161216,232,4,20
EP4CE40U19A7,1.2V,39600,329,1161216,232,4,20
EP4CE40U19I7,1.2V,39600,329,1161216,232,4,20
EP4CE55F23C6,1.2V,55856,325,2396160,308,4,20
EP4CE55F23C7,1.2V,55856,325,2396160,308,4,20
EP4CE55F23C8,1.2V,55856,325,2396160,308,4,20
EP4CE55F23C8L,1.0V,55856,325,2396160,308,4,20
EP4CE55F23C9L,1.0V,55856,325,2396160,308,4,20
EP4CE55F23I7,1.2V,55856,325,2396160,308,4,20
EP4CE55F23I8L,1.0V,55856,325,2396160,308,4,20
EP4CE55F29C6,1.2V,55856,375,2396160,308,4,20
EP4CE55F29C7,1.2V,55856,375,2396160,308,4,20
EP4CE55F29C8,1.2V,55856,375,2396160,308,4,20
EP4CE55F29C8L,1.0V,55856,375,2396160,308,4,20
EP4CE55F29C9L,1.0V,55856,375,2396160,308,4,20
EP4CE55F29I7,1.2V,55856,375,2396160,308,4,20
EP4CE55F29I8L,1.0V,55856,375,2396160,308,4,20
EP4CE55U19I7,1.2V,55856,325,2396160,308,4,20
EP4CE75F23C6,1.2V,75408,293,2810880,400,4,20
EP4CE75F23C7,1.2V,75408,293,2810880,400,4,20
EP4CE75F23C8,1.2V,75408,293,2810880,400,4,20
EP4CE75F23C8L,1.0V,75408,293,2810880,400,4,20
EP4CE75F23C9L,1.0V,75408,293,2810880,400,4,20
EP4CE75F23I7,1.2V,75408,293,2810880,400,4,20
EP4CE75F23I8L,1.0V,75408,293,2810880,400,4,20
EP4CE75F29C6,1.2V,75408,427,2810880,400,4,20
EP4CE75F29C7,1.2V,75408,427,2810880,400,4,20
EP4CE75F29C8,1.2V,75408,427,2810880,400,4,20
EP4CE75F29C8L,1.0V,75408,427,2810880,400,4,20
EP4CE75F29C9L,1.0V,75408,427,2810880,400,4,20
EP4CE75F29I7,1.2V,75408,427,2810880,400,4,20
EP4CE75F29I8L,1.0V,75408,427,2810880,400,4,20
EP4CE75U19I7,1.2V,75408,293,2810880,400,4,20
EP4CE115F23C7,1.2V,114480,281,3981312,532,4,20
EP4CE115F23C8,1.2V,114480,281,3981312,532,4,20
EP4CE115F23C8L,1.0V,114480,281,3981312,532,4,20
EP4CE115F23C9L,1.0V,114480,281,3981312,532,4,20
EP4CE115F23I7,1.2V,114480,281,3981312,532,4,20
EP4CE115F23I8L,1.0V,114480,281,3981312,532,4,20
EP4CE115F29C7,1.2V,114480,529,3981312,532,4,20
EP4CE115F29C8,1.2V,114480,529,3981312,532,4,20
EP4CE115F29C8L,1.0V,114480,529,3981312,532,4,20
EP4CE115F29C9L,1.0V,114480,529,3981312,532,4,20
EP4CE115F29I7,1.2V,114480,529,3981312,532,4,20
EP4CE115F29I8L,1.0V,114480,529,3981312,532,4,20
